date, pm10, o3, no2
2017/11/2, 25, 9, 28
2017/11/3, 29, 13, 33
2017/11/4, 32, 7, 26
2017/11/5, 36, 12, 23
2017/11/6, 31, 11, 29
2017/11/7, 25, 15, 25
2017/11/8, 26, 11, 22
2017/11/9, 46, 10, 26
2017/11/10, 48, 11, 22
2017/11/11, 25, 20, 22
2017/11/12, 13, 17, 23
2017/11/13, 21, 8, 28
2017/11/14, 21, 8, 29
2017/11/15, 28, 3, 33
2017/11/16, 31, 3, 27
2017/11/17, 38, 11, 35
2017/11/18, 34, 16, 25
2017/11/19, 22, 20, 14
2017/11/20, 12, 13, 29
2017/11/21, 16, 5, 28
2017/11/22, 20, 5, 29
2017/11/23, 24, 6, 41
2017/11/24, 28, 10, 34
2017/11/25, 25, 12, 25
2017/11/26, 17, 5, 18
2017/11/27, 24, 6, 22
2017/11/28, 20, 12, 24
2017/11/29, 14, 9, 32
2017/11/30, 31, 2, 32
2017/12/1, 38, 3, 28
2017/12/2, 35, 4, 24
2017/12/3, 30, , 
2017/12/5, 16, 13, 26
2017/12/6, 16, 17, 22
2017/12/7, 30, 19, 24
2017/12/8, 23, 16, 25
2017/12/9, 18, 16, 22
2017/12/10, 17, 18, 19
2017/12/11, 16, 14, 33
2017/12/12, 22, 15, 22
2017/12/13, 16, 14, 25
2017/12/14, 22, 17, 28
2017/12/15, 13, 10, 37
2017/12/16, 23, 8, 27
2017/12/17, 31, 13, 20
2017/12/18, 16, 6, 35
2017/12/19, 28, 1, 30
2017/12/20, 30, 1, 33
2017/12/21, 30, 10, 25
2017/12/22, 19, 12, 27
2017/12/23, 22, 14, 16
2017/12/24, 20, 19, 10
2017/12/25, 18, 21, 12
2017/12/26, 11, 17, 16
2017/12/27, 15, 12, 28
2017/12/28, 21, 12, 30
2017/12/29, 23, 13, 29
2017/12/30, 25, 14, 24
2017/12/31, 18, , 
2017/7/2, 18, 21, 15
2017/7/3, 20, 21, 26
2017/7/4, 16, 23, 24
2017/7/5, 18, 24, 31
2017/7/6, 16, 27, 37
2017/7/7, 21, 34, 38
2017/7/8, 27, 22, 27
2017/7/9, 30, 28, 19
2017/7/10, 17, 22, 32
2017/7/11, 27, 26, 30
2017/7/12, 25, 22, 31
2017/7/13, 25, 23, 24
2017/7/14, 19, 27, 36
2017/7/15, 24, 28, 26
2017/7/16, 25, 28, 19
2017/7/17, 19, 24, 26
2017/7/18, 19, 30, 31
2017/7/19, 26, 41, 29
2017/7/20, 29, 39, 40
2017/7/21, 36, 27, 26
2017/7/22, 26, 32, 20
2017/7/23, 21, 27, 20
2017/7/24, 31, 28, 37
2017/7/25, 23, 21, 24
2017/7/26, 17, 15, 21
2017/7/27, 18, 26, 32
2017/7/28, 24, 27, 26
2017/7/29, 23, 28, 24
2017/7/30, 23, 38, 24
2017/7/31, 23, 32, 34
2017/8/1, 26, 35, 34
2017/8/2, 26, 35, 32
2017/8/3, 25, 29, 35
2017/8/4, 34, 29, 27
2017/8/5, 24, 25, 21
2017/8/6, 18, 24, 17
2017/8/7, 15, 36, 35
2017/8/8, 22, 41, 31
2017/8/9, 28, 36, 29
2017/8/10, 25, 39, 21
2017/8/11, 23, 28, 26
2017/8/12, 28, 25, 15
2017/8/13, 15, 20, 14
2017/8/14, 14, 29, 33
2017/8/15, 22, 37, 30
2017/8/16, 27, 26, 33
2017/8/17, 26, 35, 32
2017/8/18, 30, 21, 29
2017/8/19, 23, 25, 17
2017/8/20, 16, 26, 14
2017/8/21, 15, 18, 23
2017/8/22, 16, 20, 24
2017/8/23, 16, 27, 33
2017/8/24, 24, 17, 38
2017/8/25, 36, 18, 25
2017/8/26, 34, 30, 29
2017/8/27, 34, 29, 18
2017/8/28, 29, 29, 35
2017/8/29, 21, 37, 40
2017/8/30, 37, 41, 39
2017/8/31, 40, 31, 28
2017/9/1, 28, 20, 24
2017/9/2, 17, 24, 22
2017/9/3, 16, 23, 22
2017/9/4, 15, 28, 31
2017/9/5, 17, 35, 38
2017/9/6, 26, , 53
2017/9/7, 46, , 
2017/9/12, 19, 17, 23
2017/9/13, 17, 23, 21
2017/9/14, 16, 17, 24
2017/9/15, 12, 18, 27
2017/9/16, 16, 20, 27
2017/9/17, 18, 23, 28
2017/9/18, 28, 22, 36
2017/9/19, 21, 19, 36
2017/9/20, 30, 15, 31
2017/9/21, 26, 18, 33
2017/9/22, 31, 21, 32
