date, pm25, pm10, o3, no2, so2, co
2015/8/7, 56, 51, 41, 33, 5, 
2015/8/8, 76, 63, 52, 16, 4, 
2015/8/9, 108, 21, 57, 10, 3, 
2015/8/10, 45, 31, 49, 19, 5, 
2015/8/11, 51, 48, 20, 34, 5, 
2015/8/12, 71, , , , , 
2015/8/26, 38, 33, 45, 32, 5, 
2015/8/27, 55, 25, 38, 27, 5, 
2015/8/28, 48, 25, 49, 28, 6, 
2015/8/29, 52, 34, 44, 21, 6, 
2015/8/30, 55, 39, 38, 11, 6, 
2015/8/31, 56, 34, 34, 21, 6, 
2015/9/1, 62, 22, 30, 24, 5, 
2015/9/2, 51, 26, 46, 22, 5, 
2015/9/3, 54, 26, 49, 23, 5, 
2015/9/4, 53, 18, 42, 18, 4, 
2015/9/5, 41, 17, 42, 12, 3, 
2015/9/6, 41, 19, 47, 16, 4, 
2015/9/7, 43, 20, 37, 21, 4, 
2015/9/8, 46, 21, 42, 26, 4, 
2015/9/9, 49, 27, 46, 35, 6, 
2015/9/10, 56, 26, 33, 31, 5, 
2015/9/11, 52, 28, 22, 37, 6, 
2015/9/12, 52, , , , , 
2015/9/15, 34, 22, 34, 22, 5, 
2015/9/16, 42, 17, 24, 18, 4, 
2015/9/17, 39, 12, 32, 21, 5, 
2015/9/18, 33, 14, 32, 26, 4, 
2015/9/19, 37, 21, 39, 29, 5, 
2015/9/20, 49, 26, 45, 33, 6, 
2015/9/21, 58, 30, 51, 42, 6, 
2015/9/22, 62, 26, 46, 41, 5, 
2015/9/23, 54, 20, 33, 23, 4, 
2015/9/24, 51, 19, 29, 25, 5, 
2015/9/25, 42, 23, 35, 31, 5, 
2015/9/26, 50, 27, 38, 36, 5, 
2015/9/27, 58, 24, 40, 28, 5, 
2015/9/28, 51, 23, 36, 22, 5, 
2015/9/29, 48, 23, 36, 25, 4, 
2015/9/30, 47, 20, 37, 26, 3, 
2015/10/1, 45, 29, 42, 38, 5, 
2015/4/2, 41, 16, 36, 14, 3, 
2015/4/3, 31, 17, 32, 14, 3, 
2015/4/4, 28, 20, 39, 13, 3, 
2015/4/5, 31, 13, 40, 13, 3, 
2015/4/6, 24, 20, 35, 18, 3, 
2015/4/7, 41, 24, 38, 16, 3, 
2015/4/8, 52, 19, 42, 16, 3, 
2015/4/9, 40, 17, 38, 24, 3, 
2015/4/10, 45, 26, 30, 25, 4, 
2015/4/11, 64, 24, 39, 21, 3, 
2015/4/12, 56, 31, 40, 18, 3, 
2015/4/13, 60, 42, 41, 20, 3, 
2015/4/14, 64, 45, 39, 21, 3, 
2015/4/15, 65, 32, 39, 24, 3, 
2015/4/16, 60, 20, 31, 22, 2, 
2015/4/17, 56, 22, 39, 22, 3, 
2015/4/18, 57, 27, 37, 25, 3, 
2015/4/19, 57, 10, 39, 16, 2, 
2015/4/20, 30, 15, 40, 22, 3, 
2015/4/21, 38, 19, 41, 24, 3, 
2015/4/22, 42, 20, 42, 21, 3, 
2015/4/23, 45, 28, 43, 31, 4, 
2015/4/24, 58, 33, 39, 36, 4, 
2015/4/25, 61, 17, 34, 17, 3, 
2015/4/26, 38, 9, 31, 16, 3, 
2015/4/27, 32, 11, 33, 22, 3, 
2015/4/28, 35, 13, 35, 24, 3, 
2015/4/29, 41, 17, 36, 22, 3, 
2015/4/30, 48, 23, 35, 29, 4, 
2015/5/1, 56, 18, 30, 17, 3, 
2015/5/2, 46, 16, 17, 12, 2, 
2015/5/3, 44, 23, 28, 19, 3, 
2015/5/4, 47, 31, 34, 22, 4, 
2015/5/5, 58, 18, 38, 17, 3, 
2015/5/6, 38, 20, 43, 23, 3, 
2015/5/7, 43, 30, 51, 35, 4, 
2015/5/8, 53, 26, 35, 25, 4, 
2015/5/9, 48, 19, 18, 27, 4, 
2015/5/10, 48, , , , , 
2015/5/13, 68, 57, 38, 46, 5, 
2015/5/14, 85, 51, 45, 35, 4, 
2015/5/15, 72, 23, 40, 10, 1, 
2015/5/16, 29, 19, 41, 12, 3, 
2015/5/17, 25, 16, 42, 14, 3, 
2015/5/18, 30, 27, 51, 30, 5, 
2015/5/19, 50, 27, 32, 21, 4, 
2015/5/20, 43, 14, 39, 15, 3, 
2015/5/21, 30, 13, 40, 15, 3, 
2015/5/22, 27, 17, 39, 17, 3, 
2015/5/23, 34, 18, 38, 12, 4, 
2015/5/24, 37, 17, 40, 11, 3, 
2015/5/25, 32, 16, 40, 17, 4, 
2015/5/26, 42, 16, 41, 18, 3, 
2015/5/27, 38, 17, 36, 19, 3, 
2015/5/28, 35, 30, 55, 27, 4, 
2015/5/29, 52, 35, 45, 35, 5, 
2015/5/30, 56, 24, 48, 24, 5, 
2015/5/31, 54, 24, 44, 18, 2, 
2015/6/1, 52, 29, 45, 26, 5, 
2015/6/2, 53, 29, 47, 24, 4, 
2015/6/3, 55, 36, 51, 23, 4, 
2015/6/4, 60, 24, 49, 15, 4, 
2015/6/5, 42, 28, 53, 21, 5, 
2015/6/6, 54, 33, 61, 21, 4, 
2015/6/7, 57, 25, 64, 15, 4, 
2015/6/8, 48, 29, 66, 25, 5, 
2015/6/9, 51, 41, 52, 29, 4, 
2015/6/10, 61, , , , , 
2015/6/23, 68, 28, 50, 30, 5, 
2015/6/24, 62, 18, 57, 24, 4, 
2015/6/25, 49, 25, 59, 25, 4, 
2015/6/26, 55, 35, 62, 40, 5, 
2015/6/27, 70, 34, 66, 33, 5, 
2015/6/28, 73, 33, 63, 29, 5, 
2015/6/29, 73, 37, 71, 32, 6, 
2015/6/30, 73, 48, 60, 35, 6, 
2015/7/1, 76, 40, 54, 31, 5, 
2015/1/2, 107, 36, 5, 62, 10, 
2015/1/3, 77, 34, 6, 57, 10, 
2015/1/4, 77, 36, 9, 58, 12, 
2015/1/5, 75, 33, 8, 55, 9, 
2015/1/6, 74, 33, 8, 47, 8, 
2015/1/7, 84, 38, 8, 57, 9, 
2015/1/8, 78, 33, 8, 51, 8, 
2015/1/9, 65, 39, 7, 65, 11, 
2015/1/10, 67, 31, 11, 53, 9, 
2015/1/11, 57, 28, 10, 39, 9, 
2015/1/12, 61, 24, 18, 41, 8, 
2015/1/13, 37, 29, 15, 40, 6, 
2015/1/14, 59, 36, 8, 42, 6, 
2015/1/15, 77, 22, 18, 34, 4, 
2015/1/16, 56, 14, 31, 30, 4, 
2015/1/17, 41, 23, 30, 29, 4, 
2015/1/18, 41, 16, 15, 24, 3, 
2015/1/19, 45, 13, 31, 26, 6, 
2015/1/20, 29, 25, 21, 43, 5, 
2015/1/21, 55, 18, 26, 35, 4, 
2015/1/22, 49, 18, 31, 31, 5, 
2015/1/23, 37, 24, 25, 41, 7, 
2015/1/24, 57, 24, 23, 39, 7, 
2015/1/25, 61, 13, 30, 30, 7, 
2015/1/26, 39, 28, 15, 49, 8, 
2015/1/27, 64, 23, 22, 40, 7, 
2015/1/28, 61, 32, 17, 48, 7, 
2015/1/29, 73, 25, 25, 37, 5, 
2015/1/30, 56, 13, 26, 20, 3, 
2015/1/31, 30, 9, 34, 19, 3, 
2015/2/1, 21, 8, 33, 16, 3, 
2015/2/2, 23, 12, 29, 26, 3, 
2015/2/3, 35, 10, 31, 27, 3, 
2015/2/4, 25, 10, 33, 24, 5, 
2015/2/5, 29, 12, 33, 21, 6, 
2015/2/6, 33, 12, 31, 27, 6, 
