date, pm25, o3, no2, so2, co
2017/12/24, 31, 10, , , 
2017/12/25, 13, 13, , , 
2017/12/26, 20, 13, , , 
2017/12/27, 18, 12, , , 
2017/12/28, 31, 13, , , 
2017/12/29, 24, 11, , , 
2017/12/30, 24, 8, , , 
2017/12/31, 36, 13, , , 
2018/1/1, 18, 14, , , 
2017/7/2, 24, 19, 1, , 
2017/7/3, 40, 22, 2, , 
2017/7/4, 42, 19, 2, , 
2017/7/5, 58, 13, 2, , 
2017/7/6, 45, 14, 2, , 
2017/7/7, 21, 17, 2, , 
2017/7/8, 23, 20, 1, , 
2017/7/9, 27, 16, 1, , 
2017/7/10, 30, 22, 3, , 
2017/7/11, 40, 20, 2, , 
2017/7/12, 41, 21, 2, , 
2017/7/13, 47, 21, 1, , 
2017/7/14, 45, 18, 2, , 
2017/7/15, 30, 19, 1, , 
2017/7/16, 27, 21, , , 
2017/7/17, 34, 21, 2, , 
2017/7/18, 35, 22, 2, , 
2017/7/19, 36, 35, 3, , 
2017/7/20, 41, 25, 2, , 
2017/7/21, 52, 27, 2, , 
2017/7/22, 66, 20, 1, , 
2017/7/23, 65, 21, 1, , 
2017/7/24, 40, 21, 2, , 
2017/7/25, 20, 19, 1, , 
2017/7/26, 28, 28, 2, , 
2017/7/27, 27, 19, 2, , 
2017/7/28, 34, 17, 2, , 
2017/7/29, 37, 14, 1, , 
2017/7/30, 21, 16, 1, , 
2017/7/31, 22, 18, 3, , 
2017/8/1, 28, 23, 5, , 
2017/8/2, 42, 23, 5, , 
2017/8/3, 44, 27, 6, , 
2017/8/4, 50, 22, 5, , 
2017/8/5, 40, 17, 5, , 
2017/8/6, 24, 20, 5, , 
2017/8/7, 25, 13, 5, , 
2017/8/8, 31, 15, 5, , 
2017/8/9, 25, 19, 5, , 
2017/8/10, 34, 22, 5, , 
2017/8/11, 38, 13, 6, , 
2017/8/12, 36, 13, 5, , 
2017/8/13, 31, 18, 5, , 
2017/8/14, 44, 18, 5, , 
2017/8/15, 52, 14, 5, , 
2017/8/16, 30, 22, 5, , 
2017/8/17, 42, 17, 6, , 
2017/8/18, 48, 14, 5, , 
2017/8/19, 35, 21, 5, , 
2017/8/20, 28, 20, 5, , 
2017/8/21, 41, 18, 5, , 
2017/8/22, 52, 17, 5, , 
2017/8/23, 43, 15, 5, , 
2017/8/24, 36, 17, 5, , 
2017/8/25, 39, 20, 5, , 
2017/8/26, 47, 19, 5, , 
2017/8/27, 45, 19, 5, , 
2017/8/28, 37, 16, 5, , 
2017/8/29, 38, 14, 5, , 
2017/8/30, 21, 16, 5, , 
2017/8/31, 25, 20, 5, , 
2017/9/1, 34, 12, 5, , 
2017/9/2, 28, 10, 5, , 
2017/9/3, 13, 11, 5, , 
2017/9/4, 16, 17, 6, , 
2017/9/5, 44, 17, 5, , 
2017/9/6, 50, , , , 
2017/9/11, 17, 11, , , 
2017/9/12, 17, 13, , , 
2017/9/13, 12, 13, , , 
2017/9/14, 23, 16, , , 
2017/9/15, 40, 17, , , 
2017/9/16, 29, 16, , , 
2017/9/17, 34, 14, , , 
2017/9/18, 24, 9, , , 
2017/9/19, 23, 11, , , 
2017/9/20, 50, 16, , , 
2017/9/21, 49, 17, , , 
2017/9/22, 41, 17, , , 
2017/9/23, 47, 15, , , 
2017/9/24, 34, 19, , , 
2017/9/25, 32, 17, , , 
2017/9/26, 39, 8, , , 
2017/9/27, 16, 15, , , 
2017/9/28, 23, 20, , , 
2017/9/29, 41, 19, , , 
2017/9/30, 20, 13, , , 
2017/10/1, 18, 14, , , 
2017/4/2, 13, 20, , , 
2017/4/3, 20, 17, 2, , 
2017/4/4, 17, 18, 2, , 
2017/4/5, 19, 22, 5, , 
2017/4/6, 27, 16, 2, , 
2017/4/7, 15, 14, 1, , 
2017/4/8, 10, 21, 4, , 
2017/4/9, 17, 23, 4, , 
2017/4/10, 24, 25, 3, , 
2017/4/11, 48, 24, 3, , 
2017/4/12, 40, 23, 3, , 
2017/4/13, 33, 23, 1, , 
2017/4/14, 25, 22, 4, , 
2017/4/15, 26, 20, 2, , 
2017/4/16, 34, 20, 2, , 
2017/4/17, 33, 17, 2, , 
2017/4/18, 36, 19, 2, , 
2017/4/19, 15, 14, 3, , 
2017/4/20, 18, 18, 2, , 
2017/4/21, 25, 17, 3, , 
2017/4/22, 33, 9, 2, , 
2017/4/23, 20, 9, 1, , 
2017/4/24, 17, 11, , , 
2017/4/25, 8, 13, , , 
2017/4/26, 10, 16, 2, , 
2017/4/27, 13, 21, 3, , 
2017/4/28, 46, 18, 3, , 
2017/4/29, 45, 14, 2, , 
2017/4/30, 58, 12, 1, , 
2017/5/1, 30, 12, 1, , 
2017/5/2, 20, 19, 2, , 
2017/5/3, 15, 20, 2, , 
2017/5/4, 20, 19, 2, , 
2017/5/5, 17, 16, 1, , 
2017/5/6, 15, 13, 1, , 
2017/5/7, 11, 16, 1, , 
2017/5/8, 18, 19, 3, , 
2017/5/9, 18, 22, 4, , 
2017/5/10, 22, 28, 3, , 
2017/5/11, 33, 19, 1, , 
2017/5/12, 21, 13, , , 
2017/5/13, 9, 12, , , 
2017/5/14, 9, 20, 2, , 
2017/5/15, 26, 19, 1, , 
2017/5/16, 16, 22, 4, , 
2017/5/17, 27, 25, 3, , 
2017/5/18, 46, 19, 2, , 
2017/5/19, 44, 18, 2, , 
2017/5/20, 33, 15, 1, , 
2017/5/21, 20, 16, , , 
2017/5/22, 18, 12, 1, , 
2017/5/23, 18, 11, 2, , 
2017/5/24, 20, 15, , , 
2017/5/25, 12, 18, 2, , 
2017/5/26, 13, 19, 2, , 
2017/5/27, 19, 21, 4, , 
2017/5/28, 37, 14, 1, , 
2017/5/29, 30, 17, 1, , 
2017/5/30, 27, 17, 1, , 
2017/5/31, 30, 21, 2, , 
2017/6/1, 30, 23, 3, , 
2017/6/2, 27, 25, 3, , 
2017/6/3, 30, 23, 4, , 
2017/6/4, 41, 24, 2, , 
2017/6/5, 43, 14, 2, , 
2017/6/6, 25, 20, 2, , 
2017/6/7, 28, 14, 1, , 
2017/6/8, 22, 18, 1, , 
2017/6/9, 16, 20, 3, , 
2017/6/10, 29, 23, 3, , 
2017/6/11, 44, 23, 2, , 
2017/6/12, 53, 25, 2, , 
2017/6/13, 49, 22, 2, , 
2017/6/14, 47, 23, 2, , 
2017/6/15, 36, 21, 1, , 
2017/6/16, 33, 23, 1, , 
2017/6/17, 43, 12, 2, , 
2017/6/18, 24, 12, 1, , 
2017/6/19, 32, 13, 1, , 
2017/6/20, 29, 16, 2, , 
2017/6/21, 28, 19, 1, , 
2017/6/22, 32, 20, 2, , 
2017/6/23, 39, 10, 1, , 
2017/6/24, 37, 17, 1, , 
2017/6/25, 27, 18, 2, , 
2017/6/26, 29, 21, 2, , 
2017/6/27, 26, 19, 2, , 
2017/6/28, 26, 23, 2, , 
2017/6/29, 26, 21, 2, , 
2017/6/30, 36, 18, 2, , 
2017/7/1, 39, 14, 1, , 
2017/1/3, 17, 10, 3, , 
2017/1/4, 10, 10, 3, , 
2017/1/5, 18, 10, 5, , 
2017/1/6, 16, 10, 5, , 
2017/1/7, 29, 10, , , 
2017/1/8, 36, 13, , , 
2017/1/9, 41, , 6, , 
2017/1/10, 37, , 8, , 
2017/1/11, 32, 5, 8, , 
2017/1/12, 37, 14, 3, , 
2017/1/13, 21, 11, 2, , 
2017/1/14, 27, 13, 2, , 
2017/1/15, 21, 12, 2, , 
2017/1/16, 26, 9, 5, , 
2017/1/17, 33, 6, 5, , 
2017/1/18, 36, 10, 4, , 
2017/1/19, 30, 7, 5, , 
2017/1/20, 16, 3, 5, , 
2017/1/21, 31, 4, 3, , 
2017/1/22, 21, 7, 1, , 
2017/1/23, 12, 13, , , 
2017/1/24, 9, 11, 1, , 
2017/1/25, 11, 13, 5, , 
2017/1/26, 16, 14, 2, , 
2017/1/27, 27, 11, 3, , 
2017/1/28, 13, 13, 3, , 
2017/1/29, 21, 14, 5, , 
2017/1/30, 27, 12, 4, , 
2017/1/31, 21, 12, 9, , 
2017/2/1, 32, 7, 13, , 
2017/2/2, 40, 13, 7, , 
2017/2/3, 33, 11, 6, , 
2017/2/4, 28, 14, 4, , 
2017/2/5, 24, 16, 5, , 
2017/2/6, 31, 16, 9, , 
2017/2/7, 50, 15, 4, , 
